Title,Start,End,Duration,Created by,Description,Where,Calendar
East Oak - Events Department Meeting ,03/11/2015 14:30,03/11/2015 15:30,01:00,Mikayla Weissman,Meet to discuss setup/reset manual with Joanna,,Conference Room
MERIDIAN - Meeting with Calgary & Maiki ,03/11/2015 14:30,03/11/2015 16:00,01:30,Calgary Brown,,,Conference Room
GALLERY - Ashara & Joan,03/11/2015 16:30,03/11/2015 17:30,01:00,Ashara Ekundayo,,,Conference Room
MERIDIAN - Beyond Culture of Separation ,03/11/2015 18:00,03/11/2015 21:00,03:00,Mikayla Weissman,,,Conference Room
DOWNTOWN: Scott R Kline Photography,03/12/2015 09:00,03/12/2015 18:00,09:00,Roshanda Cummings,"+ RESERVATION +

Room: Downtown Conference Room
Name: Patricia Kline
Org: Scott R. Kline Photography
Membership Level: Part-Time ($45/hour)
Contact: patricia@scottrklinephoto.com

+ PRICE +
$45/hour x 9 hours = $405

Payment: March 12th, 2015 upon arrival
Cash, Check, or Card accepted at Host Desk","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK: Scott R Kline Photography,03/12/2015 09:00,03/12/2015 18:00,09:00,Calgary Brown,,,Conference Room
UPTOWN - Konda's Program Development Meeting (w/ Work Traders),03/12/2015 09:30,03/12/2015 10:45,01:15,Calgary Brown,,,Conference Room
MERIDIAN ROOM - Calgary,03/12/2015 10:00,03/12/2015 11:00,01:00,Calgary Brown,,,Conference Room
UPTOWN: SustainAbility ,03/12/2015 10:45,03/12/2015 13:15,02:30,Roshanda Cummings,"+ RESERVATION +

Date: March 12th, 2015; 10:45AM - 1:15PM
Room: Uptown
Name: Melissa Hines
Org: Sustainabillity
ML: Office Member ($40/hour)
Contact: dalcorn@samausa.org

+ PRICE +
$40/hour x 2.5 hours = $100.00 

Payment Due: Monthly Invoice via IHO","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
OMI GALLERY: Uptima Business Bootcamp,03/12/2015 13:00,03/12/2015 16:00,03:00,Roshanda Cummings,"+ RESERVATION +

Room: Omi Gallery
Name: Rani Croager
Org: Uptima Business Bootcamp
Membership Level: Office (we'll honor the downtown price $25/hour)
Contact: rani.croager@uptimabootcamp.com

+ PRICE +
$25/hour x 3 hours = $75.00

Payment Due: Monthly invoice via Impact Hub Oakland ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MERIDIAN ROOM - Meridian staff - OK,03/12/2015 13:30,03/12/2015 20:00,06:30,Courtney Lubell,,,Conference Room
BROADWAY - Congresswoman Barbara Lee Fundraiser,03/12/2015 17:00,03/12/2015 21:00,04:00,Mikayla Weissman,"Set up: 	5-6pm
Event:	6-8pm
Reset: 	8-9pm",,HUB Oakland Events
Uptown: Therapeutic Thursdays (4 week series),03/12/2015 18:00,03/12/2015 20:00,02:00,amelía knowtheself,"Keena will host Therapeutic Thursday for 4 weeks. 

Practitioner showcase + healthy dinner
$10 for members
$15 for non-members

Every Thursday in March ",,Conference Room
MERIDIAN: Hack The Hood ,03/12/2015 18:30,03/12/2015 21:00,02:30,Roshanda Cummings,"+ RESERVATION +

Room: Meridian
Name: Kim Garcia
Org: Hack The Hood 
ML: Google Challenge Impact Winner (office rates: $45/hour)
Contact: kim@hackthehood.org

+ PRICE +
$45/hour x 2.5 hours = $112.15

Payment Due: Monthly invoice to IHBA via IHO
","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Gallery - UPISF Urban Permaculture Series,03/12/2015 18:30,03/12/2015 21:30,03:00,Mikayla Weissman,"Free workshop

Given by IHO member David Cody

",,HUB Oakland Events
IHO Tabling at Mills College,03/13/2015 07:45,03/13/2015 18:15,10:30,Events Coordinator,"Friday, March 13th. Registration will begin at 8:00 with opening remarks at 8:45, and the conference will end at 5:00 with a reception to follow. I think the best time to set up a table would be during registration and our morning networking break from 10:00 - 10:30. We'll also have a Mills admissions table and possibly a few other sponsors in the main foyer area as well. ""

IHO Day passes being ordered for 225.",,HUB Oakland Events
EAST OAK - Ashara,03/13/2015 08:30,03/13/2015 10:00,01:30,Ashara Ekundayo,,,Conference Room
9a-1p HOLD - GALLERY Well Being Lab,03/13/2015 09:00,03/13/2015 13:00,04:00,Konda Mason,,,Conference Room
DOWNTOWN: Hack The Hood ,03/13/2015 10:00,03/13/2015 12:00,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Downtown
Name: Mary Fuller
Org: Hack The Hood 
ML: Google Challenge Impact Winner ($25/hour)
Contact: dalcorn@samausa.org

+ PRICE +
$25/hour x 2 hours = $55.00

Payment Due: Invoiced to IHBA via iHO 
","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
(Canceled) MERIDIAN - Feng Shui School,03/13/2015 10:00,03/13/2015 17:00,07:00,Calgary Brown,This room is available to book,,Conference Room
Uptown - Lisa and Mikayla,03/13/2015 10:30,03/13/2015 13:00,02:30,Mikayla Weissman,,,Conference Room
DOWNTOWN - Niam Consulting,03/13/2015 12:00,03/13/2015 13:30,01:30,Calgary Brown,"Dwtn Oakland location 
7 people at 12:00-1:30pm on Friday March 13th 
Main contact: Teyah Lewis (510) 301-8497 
Organization: Niam Consulting 

TOTAL : $45 x 1.5hr = $67.50 (Part-time member rate)",,Conference Room
Sexy Salad,03/13/2015 12:30,03/13/2015 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
ATRIUM/ ON BROADWAY Warthogs 2015 Casino Fundraiser,03/14/2015 15:30,03/14/2015 23:00,07:30,Events Coordinator,"Set up: 3:30-5:30pm
Event: 5:30pm-10:00pm
Reset:10:00pm-11:30pm",,HUB Oakland Events
(CANCELED) MERIDIAN - Feng Shui School,03/15/2015 10:00,03/15/2015 17:00,07:00,Calgary Brown,,,Conference Room
UPTOWN - HUB Oak Staff Meeting,03/16/2015 10:00,03/16/2015 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
MERIDIAN: Black Girls Code,03/16/2015 11:00,03/16/2015 12:00,01:00,Roshanda Cummings,"+ RESERVATION +

Room: Meridian
Name: Riley Ellis
Org: BGC
ML: Office ($45/hour)
Contact: riley@blackgirlscode.org

+ PRICE +
$45/hour x 1 hour = $45.00

Payment Due: Monthly invoice via IHO.
----------------------------------------------------------------
set-up: 16 people. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MEDITATION ROOM: Shamanic Healing Sessions w/Alex,03/16/2015 12:00,03/16/2015 14:00,02:00,amelía knowtheself,,,Conference Room
UPTOWN - Sustainability ,03/16/2015 13:00,03/16/2015 14:30,01:30,Calgary Brown,TOTAL $40hr x 1.5hrs = $60,,Conference Room
MEDITATION ROOM - 30 Min Guided Meditation,03/16/2015 15:00,03/16/2015 15:30,00:30,Calgary Brown,,,HUB Oakland Events
UPTOWN: Golden Gate Feng Shui School,03/16/2015 16:00,03/16/2015 18:00,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: Manu Butterworth
Org: Golden Gate Feng Shui School
ML: Org Member 
Contact: manu@fengshuischool.com
---------------------------------------------------------------------
Set-Up: 5 people ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK: Greenside Development ,03/16/2015 16:00,03/16/2015 17:00,01:00,Roshanda Cummings,"+ RESERVATION +

Room: East Oakland
Name: Bo Ghiradelli
Org: Greenside Development 
ML: Unlimited ($15/hour)
Contact: bo.ghiradelli@greensidedevelopment.org

+ PRICE +
$15/hour x 1 hour = $15.00

Payment Due: March 16th, 2015 upon arrival
Cash, Check or Card accepted at Host Desk ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MERIDIAN - Uptima Wkshop 2-11 Module 1 (Jan 2015 Start),03/16/2015 17:30,03/16/2015 21:30,04:00,Mikayla Weissman,"Bill at the end of the month

+ PRICE +

$45/hour x 3 hours = $135
setup and breakdown time complimentary

Workshop 1Saturday1/24/20159am - 5pm    Meridian
Workshop 2Monday1/26/20156pm - 9pm    Gallery
Workshop 3Monday2/2/2015       6pm - 9pm     Gallery
Workshop 4Monday2/9/2015       6pm - 9pm     Meridian
Workshop 5Monday2/16/20156pm - 9pm    Meridian
Workshop 6Monday2/23/20156pm - 9pm    Gallery
Workshop 7Monday3/2/2015       6pm - 9pm     Gallery
Workshop 8Monday3/9/2015       6pm - 9pm     Meridian
Workshop 9Monday3/16/20156pm - 9pm    Meridian
Workshop 10Monday3/23/20156pm - 9pm    Meridian
Workshop 11Monday3/30/20156pm - 9pm    Meridian
Workshop 12Saturday4/18/20159am - 5pm    Meridian",,Conference Room
GALLERY: Today's Future Sound ,03/16/2015 18:30,03/16/2015 20:30,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Meridian Conference Room
Name: Eliot Gann
Org: Today's Future Sound
ML: N/A
Contact: egannpsyd@gmail.com

+ PRICE +
","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MERIDIAN: BALLE,03/17/2015 09:00,03/17/2015 17:00,08:00,Roshanda Cummings,"+ RESERVATION +

Room: Meridian
Name: Patricia McCarthy
Org: BALLE
ML: Office ($45/hour)
Contact: patricia@bealocalist.org

+ PRICE +
$45/hour x 8 hours = $360.00
Payment Due: Comped up to 30 hr/month as per current agreement. 
--------------------------------------------------------------------------
Set-Up: 15 attendants
Activity: Large Meeting, Projection. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK - Hack the Hood,03/17/2015 10:00,03/17/2015 11:30,01:30,Calgary Brown,$15 x 1.5hrs = $22.50,,Conference Room
MEDITATION Room: Private meditation ,03/17/2015 10:00,03/17/2015 11:00,01:00,amelía knowtheself,w/amelia  Bless the Lake event meditation - guidance to set the field for positive vibes.,,Conference Room
GALLERY - P2R class,03/17/2015 17:00,03/17/2015 19:30,02:30,Konda Mason,,,Conference Room
 Meridian - Uptima Business Bootcamp Class ,03/17/2015 17:30,03/17/2015 21:30,04:00,Calgary Brown,"NOT INVOICED YET

Time includes setup (8:30-9) and cleanup (5-5:30)

- Classroom style setup (chairs and tables) 
- AV - Projector
- 25 people max (students + teachers) 

Contact:
Rani Croager
Cooperative Education Ventures
rani.croager@coopedventures.com",Meridian Room,Conference Room
EAST OAK - Emma Smith - Amigos,03/17/2015 18:00,03/17/2015 19:00,01:00,Impact Hub Oakland,,,Conference Room
MERIDIAN: BALLE,03/18/2015 09:00,03/18/2015 17:00,08:00,Roshanda Cummings,,"Impact Hub Oakland, 2323 Broadway, Oakland, CA, US",Conference Room
GALLERY - IHO COMMUNITY ACCELERATOR  ,03/18/2015 10:30,03/18/2015 11:30,01:00,Mikayla Weissman,,,HUB Oakland Events
MERIDIAN: Empower You,03/18/2015 17:30,03/18/2015 21:00,03:30,Roshanda Cummings,"+ RESERVATION +

Room: Meridian Conference Room
Name: Tori Amos
Org: Empower You
Membership Level: Non-Member ($95/hour)
Contact: toribamos@gmail.com

+ PRICE +
$95/hour x 3.5 hours = $332.50

Payment Due: March 18th, 2014 upon arrival
Cash, Check, or Card (5% service charge applies) accepted at Host Desk. ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
GALLERY - Beyond Culture of Separation ,03/18/2015 18:00,03/18/2015 21:00,03:00,Mikayla Weissman,,,Conference Room
UPTOWN: Oakland Privacy Working Group,03/18/2015 18:30,03/18/2015 19:30,01:00,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: William Dyson
Org: Leola 
ML: Full-Time ($40/hour)
Contact: william@ida.coop

+ PRICE +
$40/hour x 1 hours = $40.00

Payment Due: March 18th, 2015 upon arrival
Cash, Check or Card accepted at host desk.
","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MERIDIAN ROOM - Meridian University - Rob Gall (RG),03/19/2015 09:00,03/19/2015 19:00,10:00,Courtney Lubell,,,Conference Room
GALLERY - Konda's Program Development Meeting (w/ Work Traders),03/19/2015 09:30,03/19/2015 11:00,01:30,Calgary Brown,,,Conference Room
UPTOWN: BALLE,03/19/2015 10:30,03/19/2015 12:00,01:30,Roshanda Cummings,"Attendants: 4 
Name: Koy Hardy ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK - Not available due to Downtown being booked,03/19/2015 11:00,03/19/2015 16:00,05:00,Calgary Brown,DOWNTOWN is booked and East Oak is not available from 11am-4pm,,Conference Room
(HOLD) PICNIC TABLE: #PencilPartyPt2 or #ThePencilsReturn,03/19/2015 11:00,03/19/2015 12:00,01:00,Roshanda Cummings,,,HUB Oakland Events
DOWNTOWN - Hack the Hood,03/19/2015 11:00,03/19/2015 13:00,02:00,Calgary Brown,"+ RESERVATION +

Room: Downtown
Name: Susan Mernit 
Org: Hack The Hood
ML: Google Challenge Impact Winner (office rates: $40/hour)
Contact: Susan Mernit

+ PRICE +
$25hr * 2hrs = $50

Payment Due: monthly invoice to IHBA via IHO",,Conference Room
GALLERY: COURIG Consulting,03/19/2015 11:00,03/19/2015 12:30,01:30,Roshanda Cummings,"PAID - Needs Whiteboard

Set up like uptown

Date: 3/19/2015, 4/9/2015, 5/14/2015
Room: Uptown
Name: Brian Gadsen
Org: Courig Coaching
ML: Part-Time Member ($65/hour)
Contact: brian.gadsden@gmail.com

+ PRICE +
$65/hour x 4 hours = $260.00 

Payment Due: Either March 19th, 2015 or each day of use. 
Cash, Check or Card accepted at host desk.","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
UPTOWN - BALLE,03/19/2015 13:00,03/19/2015 17:00,04:00,Calgary Brown,,,Conference Room
DOWNTOWN: Uptima Business Bootcamp,03/19/2015 13:00,03/19/2015 16:00,03:00,Roshanda Cummings,"+ RESERVATION +

Room: Downtown Conference Room
Name: Rani Croager
Org: Uptima Business Bootcamp
Membership Level: Office ($25/hour)
Contact: rani.croager@uptimabootcamp.com

+ PRICE +
$25/hour x 3 hours = $75.00

Payment Due: Monthly invoice via Impact Hub Oakland ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Mikayla meeting to Review Filing Info with Emily,03/19/2015 14:30,03/19/2015 15:30,01:00,Events Coordinator,won't take 3 hours - prob just 30 minutes at 2:30pm,,HUB Oakland Events
GALLERY: Better Ventures Startup School ,03/19/2015 15:00,03/19/2015 18:00,03:00,Roshanda Cummings,"+ RESERVATION +

Room: Gallery
Name: Wes Selke
Org: Better Ventures
Membership Level: Office 
contact: wes@betterventures.com

+ PRICE +
$100 flat rate.

Payment: monthly invoice via IHO

SETUP: 

20 red chairs facing away from the windows in rows. 
Monitor in front of chairs
Red Jambox (inside AV closet) for sound - Needs to have audio cable, should already be attached to Jambox speaker","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MERIDIAN - Spirit Society,03/19/2015 16:00,03/19/2015 18:00,02:00,Mikayla Weissman,,,HUB Oakland Events
MERIDIAN - Spirit Society,03/19/2015 16:00,03/19/2015 18:00,02:00,Mikayla Weissman,,,Conference Room
UPTOWN - feng shui school Orientation,03/19/2015 17:00,03/19/2015 19:00,02:00,Calgary Brown,,,Conference Room
BROADWAY - Extending Stage for Saturday,03/19/2015 17:30,03/19/2015 20:30,03:00,Mikayla Weissman,,,HUB Oakland Events
GALLERY: Therapeutic Thursdays (4 week series),03/19/2015 18:00,03/19/2015 20:00,02:00,Events Coordinator,"In case Downtown is unavailable due to Stage Extension noise.

Keena will host Therapeutic Thursday for 4 weeks. 

Practitioner showcase + healthy dinner
$10 for members
$15 for non-members

Every Thursday in March ",,Conference Room
GALLERY - Bay Area Green Tours,03/20/2015 08:30,03/20/2015 10:00,01:30,Events Coordinator,"Marissa will be submitting conference room request form asap 1/28

Role in the mounted tv screen please!

Paid via check $120 on 3/20 to LW submitted to accounting
Receipt given to Marissa",,Conference Room
MERIDIAN - Feng Shui School,03/20/2015 10:00,03/20/2015 17:00,07:00,Calgary Brown,,,Conference Room
UPTOWN: Hack The Hood Staff Meeting,03/20/2015 10:00,03/20/2015 14:30,04:30,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: Mary Fuller
Org: Hack The Hood
ML: Google Challenge Impact Winner (office rates, $40/hour)
Contact: mary@hackthehood.org

+ PRICE +
$40/hour x 2 hours = $80.00

Payment Due: Monthly Invoice to IHBA via Impact Hub Oakland ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
DOWNTOWN: Niam Consulting ,03/20/2015 12:00,03/20/2015 13:30,01:30,Roshanda Cummings,"+ RESERVATION +

Room: Downtown
Name: Teyah Lewis 
Org:  Niam Consulting 
ML: Non-Member ($25/hour)
Contact: teyah@niamconsulting.com

+ PRICE +
$25/hour x 1.5 hours = $37.50

Payment Due: March 20th, 2015 upon arrival
Cash, Check or Card accepted at host desk.","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Sexy Salad,03/20/2015 12:30,03/20/2015 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
EAST OAK: P2R,03/20/2015 17:00,03/20/2015 19:00,02:00,Roshanda Cummings,,,Conference Room
BROADWAY SET UP for P2R Graduation,03/20/2015 18:00,03/20/2015 19:00,01:00,Mikayla Weissman,,,HUB Oakland Events
BROADWAY - P2R Graduation,03/21/2015 07:30,03/21/2015 13:00,05:30,Mikayla Weissman,"Setup: 7:30-9:00am
Event: 9:00-12:00pm
Reset: 12:00-1:00pm",,HUB Oakland Events
MERIDIAN - Feng Shui School,03/21/2015 10:00,03/21/2015 17:00,07:00,Calgary Brown,,,Conference Room
BROADWAY / Jingletown/ GALLERY - Transformative Visions - One Life Institiute,03/21/2015 13:00,03/21/2015 18:00,05:00,Ashara Ekundayo,"Set up: 1:00-2:00pm
Event: 2:00-5:00pm
Reset: 5:00-6:00pm",,HUB Oakland Events
BROADWAY - GlobalGirl Media Girls Media Summit,03/21/2015 17:30,03/21/2015 23:30,06:00,Mikayla Weissman,"Setup 5:30-7:00pm
Event 7:00-10:00pm
Reset 10-11:30pm",,HUB Oakland Events
MERIDIAN - Feng Shui School,03/22/2015 10:00,03/22/2015 17:00,07:00,Calgary Brown,,,Conference Room
(HOLD) GALLERY: News Hangover,03/22/2015 12:00,03/22/2015 16:00,04:00,Roshanda Cummings,,"Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK: Uptima Business Bootcamp,03/22/2015 14:00,03/22/2015 16:00,02:00,Roshanda Cummings,"+ RESERVATION +

Room: East Oakland
Name: Rani Croager
Org: Uptima 
ML: Office Member ($15/hour)
Contact: rani.croager@uptimabootcamp.com 

+ PRICE +
$15/hour x 2 hours = $30.00

Payment Due: Monthly invoice via IHO ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
UPTOWN - HUB Oak Staff Meeting,03/23/2015 10:00,03/23/2015 12:00,02:00,Tatiana Vekovishcheva,,,Conference Room
MEDITATION ROOM: Shamanic Healing Sessions w/Alex,03/23/2015 12:00,03/23/2015 14:00,02:00,amelía knowtheself,,,Conference Room
EAST OAK - Digital Democracy ,03/23/2015 13:30,03/23/2015 15:30,02:00,Calgary Brown,"$15/hr = $30

",,Conference Room
UPTOWN: SustainAbility,03/23/2015 15:00,03/23/2015 16:00,01:00,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: Derek Bothereau
Org: SustainAbility
ML: Office ($40/hour)
Contact: bothereau@sustainability.com

+ PRICE +
$40/hour x 1 hours = $40.00

Payment Due: monthly invoice via IHO.","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
MEDITATION ROOM - 30 Min Guided Meditation,03/23/2015 15:00,03/23/2015 15:30,00:30,Calgary Brown,,,HUB Oakland Events
MERIDIAN - Uptima Wkshop 2-11 Module 1 (Jan 2015 Start),03/23/2015 17:30,03/23/2015 21:30,04:00,Mikayla Weissman,"Bill at the end of the month

+ PRICE +

$45/hour x 3 hours = $135
setup and breakdown time complimentary

Workshop 1Saturday1/24/2015  9am - 5pm    Meridian
Workshop 2Monday1/26/2015    6pm - 9pm     Gallery
Workshop 3Monday2/2/2015       6pm - 9pm     Gallery
Workshop 4Monday2/9/2015       6pm - 9pm     Meridian
Workshop 5Monday2/16/20156pm - 9pm    Meridian
Workshop 6Monday2/23/20156pm - 9pm    Gallery
Workshop 7Monday3/2/2015       6pm - 9pm     Gallery
Workshop 8Monday3/9/2015       6pm - 9pm     Meridian
Workshop 9Monday3/16/20156pm - 9pm    Meridian
Workshop 10Monday3/23/20156pm - 9pm    Meridian
Workshop 11Monday3/30/20156pm - 9pm    Meridian
Workshop 12Saturday4/18/20159am - 5pm    Meridian",,Conference Room
BROADWAY - Tear Down of Stage,03/23/2015 18:00,03/23/2015 20:00,02:00,Mikayla Weissman,,,HUB Oakland Events
GALLERY: Today's Future Sound ,03/23/2015 18:30,03/23/2015 20:30,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Meridian Conference Room
Name: Eliot Gann
Org: Today's Future Sound
ML: N/A
Contact: egannpsyd@gmail.com

+ PRICE +
","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK - Hack the Hood,03/24/2015 10:00,03/24/2015 11:30,01:30,Calgary Brown,$22.50,,Conference Room
GALLERY: Alameda Task Force ,03/24/2015 13:30,03/24/2015 15:00,01:30,Roshanda Cummings,"Needs: 

Set-up // 5-7
+ 2 stools 
+ TV
+ 2  fold-up tables 
+ white board
",,Conference Room
UPTOWN - Fund Good Jobs,03/24/2015 14:00,03/24/2015 16:00,02:00,Calgary Brown,TOTAL: $80,,Conference Room
UPTOWN: Golden Gate Feng Shui School,03/24/2015 16:00,03/24/2015 18:00,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: Manu Butterworth
Org: Golden Gate Feng Shui School
ML: Org Member 
Contact: manu@fengshuischool.com
---------------------------------------------------------------------
Set-Up: 5 people ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
GALLERY - Transformative Visions,03/24/2015 18:00,03/24/2015 21:30,03:30,Ashara Ekundayo,"Erika - worktrader is setting up the room
Jing- buying food (1hr)
Marnika?

Needed 
Set up of Food and drinks

HAS BEEN ADDED TO OURVOLTS",,HUB Oakland Events
MERIDIAN: Peak Agency (Office Member) ,03/24/2015 18:30,03/24/2015 20:30,02:00,Roshanda Cummings,"+ RESERVATION +

Room: Meridian
Name: Danny Spitzberg
Org: Peak Agency 
ML: Office Member ($45/hour)
Contact: danny@peakagency.co

+ PRICE +
$45/hour x 2 hours = $90.00

Payment Due: monthly invoice via IHO ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
GALLERY: Plum Organics,03/25/2015 08:00,03/25/2015 17:00,09:00,Roshanda Cummings,"+ RESERVATION +

Date: 3/25/2015; 8AM-5PM
Room: Omi Gallery
Name: Naomi Fukuda
Org: Plum Organics
ML: Non-Member ($115/hour)
Contact: naomi_fukuda@plumorganics.com

+ PRICE +
$115/hour x  9 hours = $1,035.00
Service Fee                  $     30.00
---------------------------------------------
total                               $1,065.00
15% Off Daylong          ($  155.25)
---------------------------------------------
Subtotal                        $   909.75

-

Payment Due: March 25th, 2015
Check, Card accepted or Invoicing available ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK - BALLE,03/25/2015 11:00,03/25/2015 12:00,01:00,Calgary Brown,,,Conference Room
EAST OAK - Booked due to Downtown booking,03/25/2015 12:30,03/25/2015 14:00,01:30,Calgary Brown,,,Conference Room
DOWNTOWN: (Natural Flow) Menstruation Throughout History,03/25/2015 12:30,03/25/2015 14:00,01:30,Impact Hub Oakland,,,Conference Room
UPTOWN - Sustainability ,03/25/2015 13:15,03/25/2015 17:30,04:15,Calgary Brown,,,Conference Room
JINGLETOWN - Defy Ventures Admissions Meeting,03/25/2015 17:30,03/25/2015 22:00,04:30,Mikayla Weissman,event 6:30-9pm,,HUB Oakland Events
UPTOWN: #BlackFemaleProject,03/25/2015 17:30,03/25/2015 19:00,01:30,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: Precious Straud
Org: N/A
ML: Non-Member ($85/hour)
Contact: pstroud@pjsconsultants.net

+ PRICE +
$85/hour x 1.5 = $127.50

Payment Due: March 25th, 2015
Cash, Check, or Card accepted at Host Desk
-----------------------------------------------------------------------------------------
up to 10","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Gallery - Oakland International Film Fest Local Filmmaker meet/greet ,03/25/2015 17:30,03/25/2015 21:00,03:30,Ashara Ekundayo,"event 6-8:30pm

EVENT HAS BEEN ADDED TO OURVOLTS",Omi galllery,HUB Oakland Events
HOLD - Gallery - Oakland International Film Fest Local Filmmaker meet/greet ,03/25/2015 18:00,03/25/2015 21:00,03:00,Ashara Ekundayo,,Omi galllery,Conference Room
MERIDIAN - Beyond Culture of Separation ,03/25/2015 18:00,03/25/2015 21:00,03:00,Mikayla Weissman,Projector and Lynne's personal speakers with extension cords,,Conference Room
UPTOWN - Konda's Program Development Meeting (w/ Work Traders),03/26/2015 09:30,03/26/2015 11:00,01:30,Calgary Brown,,,Conference Room
MERIDIAN ROOM - Meridian University - Rob Gall (RG),03/26/2015 10:00,03/26/2015 20:00,10:00,Courtney Lubell,,,Conference Room
DOWNTOWN: Uptima Business Bootcamp,03/26/2015 13:00,03/26/2015 16:00,03:00,Roshanda Cummings,"+ RESERVATION +

Room: Downtown Conference Room
Name: Rani Croager
Org: Uptima Business Bootcamp
Membership Level: Office ($25/hour)
Contact: rani.croager@uptimabootcamp.com

+ PRICE +
$25/hour x 3 hours = $75.00

Payment Due: Monthly invoice via Impact Hub Oakland ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
Uptown: Therapeutic Thursdays (4 week series),03/26/2015 18:00,03/26/2015 20:00,02:00,amelía knowtheself,"Keena will host Therapeutic Thursday for 4 weeks. 

Practitioner showcase + healthy dinner
$10 for members
$15 for non-members

Every Thursday in March ",,Conference Room
UPTOWN - PUEBLO,03/27/2015 09:00,03/27/2015 12:00,03:00,Calgary Brown,Google Impact Challenge Winner,,Conference Room
MERIDIAN: Fund Good Jobs ,03/27/2015 10:30,03/27/2015 13:00,02:30,Roshanda Cummings,"+ RESERVATION +

Room: Uptown
Name: Laina Durbin
Org: Fund Good Jobs
ML: Office ($45/hour)
Contact: laina@fundgoodjobs.com

+ PRICE +
$45/hour x 2 hours = $90.00
Payment: Monthly Invoice via IHO ","Impact Hub Oakland, 2323 Broadway, Oakland, CA 94612, United States",Conference Room
EAST OAK: BGC,03/27/2015 11:00,03/27/2015 14:00,03:00,Roshanda Cummings,,,Conference Room
Sexy Salad,03/27/2015 12:30,03/27/2015 13:30,01:00,Lisa Chacon,,,HUB Oakland Events
East Bay Church of Religious Science,03/27/2015 17:30,03/28/2015 00:00,06:30,Events Coordinator,"Daniele 5102901440
Event 7pm-11pm

HAS BEEN ADDED TO OURVOLTS",,HUB Oakland Events
DOWNTOWN - Event Storage,03/27/2015 17:30,03/28/2015 00:00,06:30,Events Coordinator,,,HUB Oakland Events
Broadway - Develop Yourself High School Tech Summit,03/28/2015 07:30,03/28/2015 18:00,10:30,Mikayla Weissman,"Setup 7:30-9:00am
Event 9:00am-5:00pm
Reset 5:00-6:00pm",,HUB Oakland Events
(Meridian Room) - Uptima Business Bootcamp Class ,03/28/2015 08:30,03/28/2015 17:30,09:00,Calgary Brown,,Meridian Room,Conference Room
GALLERY - DeInstall,03/28/2015 09:30,03/28/2015 12:30,03:00,Ashara Ekundayo,,,Conference Room
